Number, Place                         , Name of library.                                                , When founded., Free or subscription., Class.         , Number of volumes.          , Average yearly additions., Yearly circulation., Amount of permanent fund., Total yearly income from all sources., "Books, periodicals, and binding.", Salaries and incidentals.
1     , "Auburn, Ala"                 , Agricultural and Mechanical College of Alabama                  , 1873         ,                      , Col            , "1,720"                     , 260                      ,                    , $0                       , $0                                   , $80                               , $50
2     , "Auburn, Ala"                 , Society Libraries                                               ,              ,                      , Soc'y          , "2,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
3     , "Florence, Ala"               , Florence Synodical Female College                               , 1855         ,                      , Acad           , "2,500"                     ,                          ,                    , 0                        ,                                      ,                                   , 
4     , "Florence, Ala"               , State Normal School                                             , 1873         ,                      , Acad           , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
5     , "Gainesville, Ala"            , Club or Society Library                                         ,              ,                      , Soc'l          , 700                         ,                          ,                    ,                          ,                                      ,                                   , 
6     , "Greene Springs, Ala"         , Greene Springs School                                           , 1847         ,                      , Acad           , "2,500"                     , 17                       ,                    , 0                        ,                                      ,                                   , 
7     , "Greene Springs, Ala"         , Society Library                                                 ,              ,                      , Soc'y          , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
8     , "Greensboro', Ala"            , Southern University                                             , 1859         ,                      , Col            , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
9     , "Greensboro', Ala"            , "Society Libraries, (2)"                                        ,              ,                      , Soc'y          , "1,500"                     ,                          ,                    ,                          ,                                      ,                                   , 
10    , "Huntsville, Ala"             , Huntsville Female College                                       , 1853         ,                      , Acad           , 575                         , 0                        ,                    , 0                        ,                                      ,                                   , 
11    , "Huntsville, Ala"             , Huntsville Female Seminary                                      , 1829         ,                      , Acad           , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
12    , "Marion, Ala"                 , Howard College                                                  , 1841         , Free                 , Col            , "1,000"                     , 50                       ,                    , 0                        ,                                      ,                                   , 
13    , "Marion, Ala"                 , "Society Libraries, (2)"                                        ,              ,                      , Soc'y          , 800                         , 35                       ,                    ,                          ,                                      ,                                   , 
14    , "Marion, Ala"                 , Judson Female Institute                                         , 1836         ,                      , Acad           , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
15    , "Marion, Ala"                 , Marion Female Seminary                                          , 1835         ,                      , Acad           , "1,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
16    , "Mobile, Ala"                 , Franklin Society Reading Room and Library                       , 1835         , Sub                  , Soc'l          , "3,670"                     , 215                      , "1,500"            , 0                        ,                                      , 250                               , 250
17    , "Mobile, Ala"                 , Law Library                                                     , 1869         ,                      , Law            , "3,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
18    , "Mobile, Ala"                 , Medical College of Alabama                                      , 1860         ,                      , Med            , 500                         ,                          ,                    , 0                        , 0                                    ,                                   , 
19    , "Near Mobile, Ala"            , Spring Hill College                                             , 1829         ,                      , Col            , "5,000"                     , 250                      ,                    ,                          ,                                      ,                                   , 
20    , "Montgomery, Ala"             , Alabama State Library                                           , 1828         ,                      , State          , "14,000"                    ,                          ,                    ,                          ,                                      ,                                   , 
21    , "Montgomery, Ala"             , Hamner Hall School for Boys                                     , 1874         ,                      , Acad           , 500                         ,                          ,                    ,                          ,                                      ,                                   , 
22    , "Selma, Ala"                  , Young Men's Christian Association                               ,              ,                      , Y.M.C.A.       , 600                         ,                          ,                    ,                          ,                                      ,                                   , 
23    , "Summerfield, Ala"            , Centenary Institute                                             , 1841         ,                      , Acad           , "1,000"                     ,                          ,                    , 0                        ,                                      ,                                   , 
24    , "Talladega, Ala"              , Institution for the Deaf and Dumb and the Blind                 , 1860         ,                      , Acad           , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
25    , "Talladega, Ala"              , Synodical Female Collegiate Institute                           , 1852         ,                      , Acad           , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
26    , "Talladega, Ala"              , Talladega College                                               , 1875         ,                      , Col            , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
27    , "Tuscaloosa, Ala"             , Alabama Historical Society                                      , 1851         ,                      , His'l          , 250                         ,                          ,                    ,                          ,                                      ,                                   , 
28    , "Tuscaloosa, Ala"             , Tuscaloosa Female College                                       , 1850         ,                      , Acad           , "1,200"                     ,                          ,                    ,                          ,                                      ,                                   , 
29    , "Tuscaloosa, Ala"             , University of Alabama                                           , 1831         , Free                 , Col            , "4,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
30    , "Tuskegee, Ala"               , Alabama Conference Female College                               , 1855         ,                      , Acad           , 300                         ,                          ,                    , 0                        ,                                      ,                                   , 
31    , "Tuskegee, Ala"               , Park High School                                                ,              ,                      , Acad           , 400                         ,                          ,                    ,                          ,                                      ,                                   , 
32    , "Sitka, Alaska"               , Post Library                                                    , 1868         ,                      , Gar            , 596                         ,                          ,                    ,                          ,                                      ,                                   , 
33    , "Camp McDowell, Ariz"         , Post Library                                                    , 1867         ,                      , Gar            , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
34    , "Fort Whipple, Ariz"          , Regimental Library                                              , 1868         ,                      , Gar            , 328                         ,                          ,                    ,                          ,                                      ,                                   , 
35    , "Tucson, Ariz"                , Territorial Library                                             , 1873         ,                      , Ter            , "2,600"                     ,                          ,                    ,                          ,                                      ,                                   , 
36    , "Batesville, Ark"             , Arkansas College                                                , 1873         ,                      , Acad           , 400                         ,                          ,                    , 0                        ,                                      ,                                   , 
37    , "Fayetteville, Ark"           , Arkansas Industrial University                                  , 1872         ,                      , Sci            , 300                         , 53                       ,                    , 0                        , 0                                    ,                                   , 80
38    , "Fort Smith, Ark"             , Public Library Association                                      , 1875         , Sub                  , Soc'l          , 275                         ,                          ,                    , "1,750"                  , 152                                  ,                                   , 250
39    , "Little Rock, Ark"            , Arkansas State Library                                          , 1846         ,                      , State          , "4,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
40    , "Little Rock, Ark"            , Institution for the Education of the Blind                      , 1859         ,                      , Acad           , 650                         ,                          ,                    , 0                        ,                                      ,                                   , 
41    , "Little Rock, Ark"            , Mercantile Library                                              , 1867         , Sub                  , Mer            , "3,024"                     , 250                      ,                    , 0                        ,                                      ,                                   , 
42    , "Anaheim, Cal"                , Public School Library                                           ,              ,                      , Sch            , 350                         ,                          ,                    ,                          ,                                      ,                                   , 
43    , "Angel Island, Cal"           , Post Library                                                    , 1869         ,                      , Gar            , 776                         ,                          , "4,500"            ,                          ,                                      ,                                   , 
44    , "Benicia, Cal"                , Missionary College of St. Augustine                             , 1870         ,                      , Col            , 600                         , 25                       ,                    ,                          , 50                                   ,                                   , 
45    , "Benicia, Cal"                , St. Mary of the Pacific                                         , 1872         ,                      , Acad           , 700                         ,                          ,                    ,                          ,                                      ,                                   , 
46    , "Benicia, Cal"                , Young Ladies' Seminary                                          , 1852         ,                      , Acad           , 600                         ,                          ,                    ,                          ,                                      ,                                   , 
47    , "Brooklyn, Cal"               , Mills Seminary                                                  , 1871         ,                      , Acad           , "2,000"                     ,                          ,                    ,                          ,                                      ,                                   , 
48    , "Gilroy, Cal"                 , Gilroy Seminary                                                 , 1868         ,                      , Acad           , 325                         , 20                       ,                    , 0                        ,                                      ,                                   , 
49    , "Gilroy, Cal"                 , School Library                                                  ,              ,                      , Sch            , 430                         ,                          ,                    ,                          ,                                      ,                                   , 
50    , "Grass Valley, Cal"           , Grass Valley High School                                        , 1856         ,                      , Acad           , 300                         ,                          ,                    ,                          ,                                      ,                                   , 
